,Resume_Name,SKI
0,hiring_manager_review1 (dragged) 3.pdf,"SKILLS;Salesforce.com certified Administrator and Advanced Administrator. Well versed in Salesforce.com best practices:;specializing in Sales & Account Management.;Expert InsightSquared administrator;Expert DedsionLink administrator;Profident in Quip, Zendesk, Pivotal Tracker, Gainsight, Microsoft Office Suite, and Google Apps for Business;Certified completion of :World Class Sales Engagement Training: from the Shapiro Negotiations Institute;Trained in CEB:s :Challenger Sale: Methodology"
0,hiring_manager_review1 (dragged) 5.pdf,"SKILLS;Other Experience:;Computervision : Sales and Services increasing responsibilities over 12 years :acquired by PTC:;Gerber Systems Technology : Worldwide CAD Implementation Engineer;United States Coast Guard Academy : Managed Academic Engineering Computer Center;University of Connecticut : Research Center:Roper Public Opinion;e Enterprise :PLM, CAD, e Large scale sales pursuits :: Business Transformation;MES: Solutions e Sales operations e Project Management;e Leading Global teams e Structured salesmethods Impact to complex clients;e Alliance Partnerships : Opportunity identification e Creating new technology;e Product innovation solutions"
0,hiring_manager_review1 (dragged) 6.pdf,Core Competencies:;Y Project Management Y : Cross:Functional leadership : Supply Chain;Y Project Planning : Execution v:: Technology Strategy v Tax platforms
0,hiring_manager_review1 (dragged) 9.pdf,KEY SKILLS;Engagement Management Data Science Advance Analytics;Program Management Tech Pre:Sales Digital Transformation;Agile Transformation Cloud:DevOps Global Delivery;Data Governance Big Data IOT:Al:Machine Learning
0,hiring_manager_review1 (dragged) 13.pdf,":BluePrism, Automation Anywhere, UiPath, WorkFusion, Pega:, AI: :ML, NLP:, AI: :Microsoft;:Tableau, Alteryx:, Other: :Virtual Agents, AWS, MDM:"
0,hiring_manager_review1 (dragged) 15.pdf,CORE COMPETENCIES;Business Integrity : Team Building and Leadership : Mentoring and Coaching : Problem Solving : Decision;Making : Analytical and Consequential Thinking : Vendor Selection : Project Management : Interpersonal
0,hiring_manager_review1 (dragged) 16.pdf,"Skills;s a;bh ag;Ce a;INFORMA BUSINESS INTELLIGENCE, www.informa.com 2018 : Present;Customer Success Director : Key Accounts;Drive commercial success through online sales, consulting and custom content solutions for specialty audiences. Hire,;train, motivate and a team of to meet and exceed individual and departmental goals. Cement and own key customer;relationships and utilize internal partners to engage clients and demonstrate value and excellence. Develop, plan and;execute innovative customer engagement initiatives including workshops, roadshows and proactive outreach to;maximize awareness, increase product loyalty, and drive new business.;Key Accomplishments:;e: Preserved $1.5M: Annual contracts and delivered 10%: in new business annually;e: Expanded subscriptions and adoption of net:new users by 70% for largest accounts within three months;e Increased existing account revenue by 21% annually;e Consistently delivered double digit growth year on year;STREAMSCAPE TECHNOLOGIES, www.streamscape.com 2017 : 2018;Business Development, New Business Revenue;Create and develop new business revenue opportunities for Cloud and SaaS solutions. Capture prospects from inbound:;outbound marketing campaigns to grow and nurture prospects. Working with FinTech, Healthcare, Retail and;Entertainment verticals advising strategies for integration and analytics platform for digital transformation and Big Data;strategies.;e Increased new visitors for website by 30% with engaging email content;e Articulated and delivered strategic corporate business solutions to senior level executives and influencers;e: Create campaigns for lead generation to develop and implement the overall business and team revenue plans;: Understand solution strengths relative to competition: effectively communicate those strengths to customers in;a positive manner;: Specialize in Machine Learning, ETL and Legacy digital transformations;LEARON GROUPE 2015:2016, 2012;Financial Services, Startup Launches, Higher Education, Arts and Foundations;Provided product and marketing consultation for new business revenue acquisition and refined programs to solicit;target audiences. Devised products for digital :social and email: campaigns showcasing new offerings, pricing schemas,;and repackaging of services to attract new and maintain current client base.;e: Financial responsibilities for multiple concurrent programs making certain projects are on budget or profitable;via sponsor channels;e: Create project plans that leverage existing teams, tools and referenceable accounts to effectively secure brand;recognition and competitive edge;e: Collaborate closely with cross functional teams to manage strategy development, resource mapping, contract;evaluation:negotiation, servicing and execution of these initiatives;BMC SOFTWARE, www.bmc.com 3 bmc 2013 : 2014, 2005 : 2007;Technical Account Manager, Global Account Executive : Strategic Accounts, Customer Success;Responsible for customer success, entire technical health and wealth of global financial and telecom accounts.;Managed the software and consulting portfolio for distributed platforms, mainframe and cloud solutions. Served as a;new product;growth, license renewals and expand professional services :internal Ecosystem or via Technology Partners:.;e: Specializing in negotiation with multiple client departments for successful results benefiting current projects,;increase financial account revenues for product portfolio 63% in 3 months for a single account;e: Served as the trusted advisor for data center automation, DevOps, cloud and service management portfolios: a;reporting, trouble case management, training and project planning;e: Delivered Quarterly Business Reviews for each account: internal and customer centric presentations;IMPACT MANAGEMENT, http:::www.impactmgemt.com Impact 2008 : 2011;Account Manager;Managed financial, healthcare and higher education accounts utilizing solution and consultative methodologies for;professional services and implementing Microsoft platform solutions. Responsible for building and managing territory;which includes project planning, proposals, change orders, evaluations and utilization of team to meet or exceed;company revenue and profit objectives.;: Hosted monthly webinars featuring use cases, new features and best practices: grew audience with incentives;and vertical centric topics;: Conducted needs analysis interviews with front office business units to add product enhancements, competitive;features and product road map definition.;: Coordinated and executed various stages of product life cycles :requirements gathering, design and testing:;: Consultative Microsoft solution selling binding professional services, product and training for overall proposals:;SOWs;CORASWORKS SHAREPOINT SOFTWARE, www.corasworks.net 2008;Enterprise Account Manager;Accountable for revenue growth in New York Enterprise commercial along with State:Local Government accounts.;Lisa S. Lam :1 646 450 1698 lisa.lamiway:gmail.com;Executed diverse tactics for named accounts, renewal base as well as up:selling current customer base. Effectively;leveraged internal champions to sell across business units. Created a trusted advisor relationship responsible for:;e: Detailed account planning, accurate sales forecasting and communication within internal business units and;customers;e: Influenced buyers and prospects toolset value with consultative relationship selling for current initiatives and;strategic goals: differentiating value solution versus point product competitors;e: Leveraged executive management teams, system integrators and marketing campaigns to create constant;pipeline activity;e Attained quarterly goals ::Sale of the quarter:: and :Largest renewal agreement:;DOU;INFORMATION BUILDERS, Inc. www.informationbuilders.com 1997:2005"
0,hiring_manager_review1 (dragged) 19.pdf,Core Competencies:;Account Management : Continuous Improvement : Implementation Management : Client Relationship Management :;Project Management Office : Training : Interdepartmental Coordination : Effective Communication : Team Building
0,hiring_manager_review1 (dragged) 22.pdf,
0,hiring_manager_review1 (dragged) 23.pdf,CORE COMPETENCIES;e : Al and Machine Learning :ML: : Marketing and Sales Technology;: Digital Analytics : Budget Planning and Mgmt.;: : Business Intelligence : Change Management
