DegreeName,DegreeAcronym,Type,,
Bachelor,Bachelor of Arts,EDU,,
Bachelor,BA,EDU,,
Bachelor,B.A.,EDU,,
Bachelor,AB,EDU,,
Bachelor,A.B.,EDU,,
Bachelor,B.Arts,EDU,,
Bachelor,Bachelor of Science And Arts,EDU,,
Bachelor,BSA,EDU,,
Bachelor,Bachelor of Accountancy,EDU,,
Bachelor,BAcy,EDU,,
Bachelor,B.Acy.,EDU,,
Bachelor,Bachelor of Accounting,EDU,,
Bachelor,BAcc,EDU,,
Bachelor,B.Acc.,EDU,,
Bachelor,Bachelor of Animal and Veterinary Bioscience,EDU,,
Bachelor,B.An.Vet.Bio.Sc.,EDU,,
Bachelor,Bachelor of Applied Science,EDU,,
Bachelor,B.App.Sc.,EDU,,
Bachelor,B.A.Sc.,EDU,,
Bachelor,Bachelor of Architecture,EDU,,
Bachelor,BArch,EDU,,
Bachelor,B.Arch.,EDU,,
Bachelor,Bachelor of Business Administration,EDU,,
Bachelor,BBA,EDU,,
Bachelor,B.B.A.,EDU,,
Bachelor,Bachelor of Civil Engineering,EDU,,
Bachelor,BCE,EDU,,
Bachelor,B.C.E.,EDU,,
Bachelor,Bachelor of Commerce,EDU,,
Bachelor,BComm,EDU,,
Bachelor,B.Comm.,EDU,,
Bachelor,BCom,EDU,,
Bachelor,B.Com.,EDU,,
Bachelor,Bachelor of Communications,EDU,,
Bachelor,B.Comm.,EDU,,
Bachelor,Bachelor of Computer Application,EDU,,
Bachelor,BCA,EDU,,
Bachelor,Bachelor of Dental Hygiene,EDU,,
Bachelor,BDH,EDU,,
Bachelor,B.D.H,EDU,,
Bachelor,Bachelor of Dental Medicine,EDU,,
Bachelor,BDM,EDU,,
Bachelor,B.D.M.,EDU,,
Bachelor,Bachelor of Dental Science,EDU,,
Bachelor,BDSc,EDU,,
Bachelor,B.D.Sc.,EDU,,
Bachelor,Bachelor of Dental Surgery,EDU,,
Bachelor,BDS,EDU,,
Bachelor,B.D.S. ;,EDU,,
Bachelor,BChD,EDU,,
Bachelor,B.Ch.D.,EDU,,
Bachelor,Bachelor of Dentistry,EDU,,
Bachelor,BDent,EDU,,
Bachelor,B.Dent.,EDU,,
Bachelor,Bachelor of Design,EDU,,
Bachelor,BDes,EDU,,
Bachelor,B.Des.,EDU,,
Bachelor,Bachelor of Design Computing,EDU,,
Bachelor,B.Des.Comp.,EDU,,
Bachelor,Bachelor of Design in Architecture,EDU,,
Bachelor,B.Des.Arch.,EDU,,
Bachelor,Bachelor of Education,EDU,,
Bachelor,BEd,EDU,,
Bachelor,B.Ed.,EDU,,
Bachelor,Bachelor of Engineering,EDU,,
Bachelor,BEng,EDU,,
Bachelor,B.Eng.,EDU,,
Bachelor,BE,EDU,,
Bachelor,B.E,EDU,,
Bachelor,Bachelor of Electronic Commerce,EDU,,
Bachelor,BEC,EDU,,
Bachelor,B.E-COM.,EDU,,
Bachelor,Bachelor of Electrical Engineering,EDU,,
Bachelor,BEE,EDU,,
Bachelor,B.E.E.,EDU,,
Bachelor,Bachelor of Fine Arts,EDU,,
Bachelor,BFA,EDU,,
Bachelor,B.F.A.,EDU,,
Bachelor,Bachelor of Health Sciences,EDU,,
Bachelor,B.Hlth.Sci,EDU,,
Bachelor,Bachelor of Information Technology,EDU,,
Bachelor,BIT,EDU,,
Bachelor,B.I.T.,EDU,,
Bachelor,Bachelor of International and Global Studies,EDU,,
Bachelor,BIGS,EDU,,
Bachelor,B.I.G.S.,EDU,,
Bachelor,Bachelor of Law,EDU,,
Bachelor,LLB,EDU,,
Bachelor,LL.B.,EDU,,
Bachelor,Bachelor of Liberal Arts and Sciences,EDU,,
Bachelor,BLAS,EDU,,
Bachelor,B.L.A.S.,EDU,,
Bachelor,Bachelor of Library Science,EDU,,
Bachelor,BLib,EDU,,
Bachelor,B.Lib.,EDU,,
Bachelor,BLS,EDU,,
Bachelor,B.L.S.,EDU,,
Bachelor,Bachelor of Literature,EDU,,
Bachelor,BLit,EDU,,
Bachelor,B.Lit.,EDU,,
Bachelor,Bachelor of Mathematics,EDU,,
Bachelor,BMath,EDU,,
Bachelor,B.Math,EDU,,
Bachelor,Bachelor of Mechanical Engineering,EDU,,
Bachelor,BME,EDU,,
Bachelor,B.M.E.,EDU,,
Bachelor,Bachelor of Medical Science,EDU,,
Bachelor,B.Med.Sc.,EDU,,
Bachelor,Bachelor of Medicine,EDU,,
Bachelor,MB,EDU,,
Bachelor,M.B.,EDU,,
Bachelor,Bachelor of Music,EDU,,
