Block_Title,Label,label_id
academic education,education,EDU
academic history,experience,EXP
areas of technical expertise,skills,SKI
business expertise,skills,SKI
business strategy experience,experience,EXP
career,experience,EXP
career & education summary,experience,EXP
career experience,experience,EXP
career history,experience,EXP
career summary,experience,EXP
career synopsis,summary,SUM
chronology,experience,EXP
communication skills,skills,SKI
competencies,skills,SKI
computer skills,skills,SKI
core competencies,skills,SKI
core skills,skills,SKI
core skills & competencies,skills,SKI
current job,experience,EXP
current posItion,experience,EXP
current postion,experience,EXP
current role,experience,EXP
e d u c a t i o n,education,EDU
e d u c a t i o n & p r o f e s s i o n a l a f f i l i a t i o n s,education,EDU
education,education,EDU
"education	and	professional	development",education,EDU
education (academic),education,EDU
education / courses,education,EDU
education / coursework,education,EDU
education & certification,education,EDU
education & certifications,education,EDU
education & community leadership,education,EDU
education & other,education,EDU
education & professional development,education,EDU
education & programming skills,education,EDU
education & training,education,EDU
education and certificates,education,EDU
education and credentials,education,EDU
education and training,education,EDU
education background,education,EDU
education qualification,education,EDU
education qualifications,education,EDU
education summary,education,EDU
education:,education,EDU
educational qualification and certifications,education,EDU
educational qualifications,education,EDU
employment,experience,EXP
employment & experience,experience,EXP
employment history,experience,EXP
executive summary,summary,SUM
experience,experience,EXP
experience & impact,experience,EXP
experience & research,experience,EXP
experience | accomplishments,experience,EXP
experiences,experience,EXP
experiencia loboral,experience,EXP
expertise in,skills,SKI
foreign languages,skills,SKI
full career history,experience,EXP
higher education,education,EDU
highlighted professional experience,experience,EXP
key experiences and skills:,experience,EXP
key skills,skills,SKI
language skills,skills,SKI
languages,skills,SKI
languages & technologies,skills,SKI
online education,education,EDU
organizational skills,skills,SKI
p r o f e s s i o n a l  e x p e r i e n c e,experience,EXP
p r o g r a m m i n g  s k i l l s,skills,SKI
past experience,experience,EXP
prioir experience,experience,EXP
prior work experience,experience,EXP
professional experience,experience,EXP
professional experience overview,experience,EXP
professional experience:,experience,EXP
professional experiences,experience,EXP
professional history,experience,EXP
professional summary,experience,EXP
profile summary,summary,SUM
programming skills,skills,SKI
recent education,education,EDU
Recent Experience,experience,EXP
recent positions,experience,EXP
rel ev ant expe r i enc e and achi ev ement s,experience,EXP
relevant experience,experience,EXP
relevant experience and achievements,experience,EXP
relevant skills,skills,SKI
relevant work experience,experience,EXP
relevant work experience,experience,EXP
select professional experience,experience,EXP
skills,skills,SKI
skills & Competencies,experience,EXP
skills and abilities,skills,SKI
skills and interests,skills,SKI
skillset,skills,SKI
soft skills,skills,SKI
spoken languages,skills,SKI
statistical packages,skills,SKI
studies,education,EDU
summary and key skills,skills,SKI
summary background,summary,SUM
summary of experience,experience,EXP
summary of qualifications,skills,SKI
summary of relevant experience,summary,SUM
technical acumen,skills,SKI
technical languages,skills,SKI
technical summary,skills,SKI
technology experience,skills,SKI
tools & skills,skills,SKI
top skills,skills,SKI
volunteering & experience,experience,EXP
work,experience,EXP
work experience,experience,EXP
work experience & education,experience,EXP
work experience details,experience,EXP
work experience education,experience,EXP
work experience:,experience,EXP
work experiences,experience,EXP
work experiense,experience,EXP
work history,experience,EXP
work\texperience,experience,EXP
x e c u t i v e c a r e e r h i s t o r y,experience,EXP
technical skills,skills,SKI
skils and,skills,SKI
qualifications,skills,SKI
links,LNK,LNK
keywords,other,OTH
key skills and compentencies,skills,SKI
abilities,skills,SKI
Accomplishments,achievement,ACH
achievements,achievement,ACH
activities,activity,ACT
activities and awards,activity,ACT
academic awards,achievement,ACH
academic qualifications,education,EDU
affiliations,other,OTH
Applications,other,OTH
skills & interests,skills,SKI
key skills,skills,SKI
languages and technologies,skills,SKI
certifications,certification,CERT
qualifications,skills,SKI
honors,achievement,ACH
activities,other,OTH
projects,project,PRO
achievements,achievement,ACH
selected academic projects and publications,project,PRO
co-curricular activities,activity,ACT
summary and objective,summary,SUM
qualifications,skills,SKI
honors and awards,achievement,ACH
certifications/licenses,certification,CERT
References,other,OTH
computer knowledge,skills,SKI
academic projects,project,PRO
research experience,other,OTH
publications,other,OTH
sample data science projects ,project,PRO
awards,other,OTH
additional information,other,OTH
coursework,other,OTH
technical prowess,skills,SKI
public talks,other,OTH
qualificatons,skills,SKI
technical experience,skills,SKI
references,other,OTH
other work experience,other,OTH
academic experience & projects,other,OTH
core technical competencies,skills,SKI
professional skills,skills,SKI
personal strenghts,skills,SKI
course work,other,OTH
academic computer science projects,other,OTH
"activities, awards, & leadership",other,OTH
job related training,other,OTH
