Entity,Majors
MAJ,Agriculture
MAJ,Agribusiness Operations
MAJ,Agricultural Business & Management
MAJ,Agricultural Economics
MAJ,Agricultural Mechanization
MAJ,Agricultural Production
MAJ,Agronomy & Crop Science
MAJ,Animal Sciences
MAJ,Food Sciences & Technology
MAJ,Horticulture Operations & Management
MAJ,Horticulture Science
MAJ,Natural Resources Conservation
MAJ,Environmental Science
MAJ,Forestry
MAJ,Natural Resources Management
MAJ,Wildlife & Wildlands Management
MAJ,Architecture
MAJ,Architectural Environmental Design
MAJ,City/Urban/Regional Planning
MAJ,Interior Architecture
MAJ,Landscape Architecture
MAJ,Area Studies
MAJ,Asian Area Studies
MAJ,European Area Studies
MAJ,Latin American Area Studies
MAJ,North American Area Studies
MAJ,Ethnic & Minority Studies
MAJ,African American Studies
MAJ,American Indian/Native American Studies
MAJ,Latino/Chicano Studies
MAJ,Women Studies
MAJ,Liberal Arts & General Studies
MAJ,Library Science
MAJ,Multi/Interdisciplinary Studies
MAJ,Art
MAJ,"Art History, Criticism & Conservation"
MAJ,Fine/Studio Arts
MAJ,Cinema/Film
MAJ,Cinematography/Film/Vide Production
MAJ,Dance
MAJ,Design & Visual Communications
MAJ,Fashion/Apparel Design
MAJ,Graphic Design
MAJ,Industrial Design
MAJ,Interior Design
MAJ,Music
MAJ,"Music, Performance"
MAJ,"Music, Theory & Composition"
MAJ,Photography
MAJ,Theatre Arts/Drama
MAJ,Accounting
MAJ,Accounting Technician
MAJ,Business Administration
MAJ,Hotel/Motel Management
MAJ,Human Resources Development/Training
MAJ,Human Resources Management
MAJ,International Business Management
MAJ,Labor/Industrial Relations
MAJ,Logistics & Materials Management
MAJ,Marketing Management & Research
MAJ,Office Supervision & Management
MAJ,Operations Management & Supervision
MAJ,Organizational Behavior
MAJ,Purchasing/Procurement/Contracts Management
MAJ,Restaurant/Food Services Management
MAJ,Small Business Management/Operations
MAJ,Travel/Tourism Management
MAJ,Business/Management Quantitative Methods
MAJ,Actuarial Science
MAJ,Business/Managerial Economics
MAJ,Finance
MAJ,Banking & Financial Support Services
MAJ,Financial Planning & Services
MAJ,Insurance & Risk Management
MAJ,Investments & Securities
MAJ,Management Information Systems
MAJ,Real Estate
MAJ,"Sales, Merchandising, & Marketing"
MAJ,Fashion Merchandising
MAJ,Tourism & Travel Marketing
MAJ,Secretarial Studies & Office Administration
MAJ,Communications
MAJ,Advertising
MAJ,Digital Communications/Media
MAJ,"Journalism, Broadcast"
MAJ,"Journalism, Print"
MAJ,Mass Communications
MAJ,Public Relations & Organizational Communication
MAJ,Radio & Television Broadcasting
MAJ,Communications Technology
MAJ,Graphic & Printing Equipment Operation*
MAJ,Multimedia/Animation/Special Effects
MAJ,Radio & Television Broadcasting Technology*
MAJ,Family & Consumer Sciences
MAJ,Adult Development & Aging/Gerontology
MAJ,Child Care Services Management
MAJ,Child Development
MAJ,Consumer & Family Economics
MAJ,Food & Nutrition
MAJ,Textile & Apparel
MAJ,"Parks, Recreation, & Leisure"
MAJ,Exercise Science/Physiology/Kinesiology
MAJ,Health & Physical Education/Fitness
MAJ,Parks/Rec/Leisure Facilities Management
MAJ,Sport & Fitness Administration/Management
MAJ,Personal Services
MAJ,Cosmetology/Hairstyling*
MAJ,Culinary Arts/Chef Training
MAJ,Funeral Services & Mortuary Science
MAJ,Protective Services
MAJ,Corrections
MAJ,Criminal Justice
MAJ,Fire Protection & Safety Technology
MAJ,Law Enforcement
MAJ,Military Technologies*
MAJ,Public Administration & Services
MAJ,Community Organization & Advocacy
MAJ,Public Administration
MAJ,Public Affairs
MAJ,Social Work
MAJ,Computer & Information Sciences
MAJ,Computer Networking/Telecommunications
MAJ,Computer Science & Programming
MAJ,Computer Software & Media Applications
MAJ,Computer System Administration
MAJ,Data Management Technology
MAJ,Information Science
MAJ,Webpage Design
MAJ,Mathematics
MAJ,Applied Mathematics
MAJ,Statistics
MAJ,Counseling & Student Services
MAJ,Educational Administration
MAJ,Special Education
MAJ,Teacher Education
MAJ,Curriculum & Instruction
MAJ,Early Childhood Education
MAJ,Elementary Education
MAJ,Junior High/Middle School Education
